Nombre,Precio,Tipo,Eficiencia,Vatios,Modulo
be quiet! Pure Power 11,84.32,0,1,500,3
Corsair RM750x White (2018),220.0,0,1,750,0
Asus ROG LOKI,185.99,3,2,750,0
Corsair HX750 Platinum,298.91,0,2,750,0
ADATA XPG FUSION 1600,699.99,0,5,1600,0
Silverstone ET500-ARGB,88.64,0,0,500,3
Corsair RM550x (2018),216.0,0,1,550,0
Corsair CXM,162.46,0,0,750,2
Corsair RM850x White,336.24,0,1,850,0
EVGA SuperNOVA 1300 G+,269.98,0,1,1300,0
Asus TUF Gaming B,69.15,0,0,550,3
Super Flower Leadex Titanium,204.98,0,5,1000,0
Corsair VS500 (2020),111.02,0,0,500,3
Thermaltake Toughpower GX1,85.8,0,1,600,3
Thermaltake Toughpower GF3 TT Premium,197.96,0,1,1350,0
EVGA SuperNOVA 750 G5,149.16,0,1,750,0
EVGA GE,79.98,0,1,600,3
Deepcool PX850G WH,129.99,0,1,850,0
Logisys PS480D2,16.98,0,6,480,3
Corsair HX850i,396.0,0,2,850,0
GameMax RGB Rainbow,89.99,0,1,750,0
Azza PSAZ-550W,54.99,0,0,550,3
be quiet! Straight Power 11 850W,267.12,0,1,850,0
Montech TITAN GOLD 1200W,164.99,0,1,1200,0
EVGA SuperNOVA 850 G6,209.31,0,1,850,0
Corsair CX650F,199.97,0,0,650,0
SeaSonic FOCUS SGX,172.61,3,1,650,0
Corsair RM750x,170.0,0,1,750,0
Super Flower LEADEX VII XG,188.98,0,1,1000,0
Silverstone SST-TX300,74.98,4,0,300,3
EVGA SuperNOVA 1000 P3,214.99,0,2,1000,0
Super Flower LEADEX VII XG,189.99,0,1,1300,0
Montech CENTURY G5,89.0,0,1,750,0
Super Flower LEADEX VII XG,144.99,0,1,850,0
Thermaltake Toughpower GF3 TT Premium,199.99,0,1,1200,0
Silverstone SX-G,133.24,3,1,700,0
Silverstone DA750 Gold,133.37,0,1,750,0
Thermaltake Smart RGB 230V,141.0,0,3,500,3
Corsair HX1200i,319.99,0,2,1200,0
Cooler Master MasterWatt,117.39,0,0,650,2
Corsair RM750,220.03,0,1,750,0
Deepcool DQ750-M-V2L,161.77,0,1,750,0
Cooler Master XG850 Plus,154.75,0,2,850,0
Silverstone SX700-PT,139.88,3,2,700,0
EVGA 1000 GQ,139.99,0,1,1000,2
FSP Group Hydro G Pro,179.51,0,1,1000,0
Raidmax RX-530SS,49.99,0,6,530,2
be quiet! System Power 9 700 CM,177.05,0,0,700,2
Super Flower Leadex Titanium,319.99,0,5,1600,0
EVGA SuperNOVA 750 GM,208.1,3,1,750,0
Corsair CX750M V2 (2017 Edition),209.0,0,0,750,2
Corsair CX450 (2017),113.98,0,0,450,3
Deepcool PX1200G,178.3,0,1,1200,0
SeaSonic G12 GM,155.41,0,1,850,2
Cooler Master MasterWatt 550,88.83,0,0,550,2
Corsair RM850 (2019),189.53,0,1,850,0
Super Flower Leadex III Gold,125.99,0,1,550,0
Antec CSK,100.58,0,0,750,2
Thermaltake Toughpower SFX,169.99,3,1,1000,0
Xilence XP500R6,89.41,0,6,500,3
SeaSonic PRIME PX-1300,408.47,0,2,1300,0
Super Flower Leadex III ARGB,134.99,0,1,750,0
Corsair RM650,204.99,0,1,650,0
Corsair CX750F,220.03,0,0,750,0
Apevia Prestige,74.98,0,1,1000,3
FSP Group FSP400-60FGGBA,107.72,1,1,400,3
ADATA XPG Core Reactor II,99.99,0,1,850,0
KOLINK Regulator,109.99,0,1,750,0
EVGA 750 BQ,138.72,0,0,750,2
EVGA SuperNOVA 1000 G7,239.99,0,1,1000,0
EVGA SuperNOVA 1600 P+,479.99,0,2,1600,0
EVGA SuperNOVA 1600 G+,269.99,0,1,1600,0
Thermaltake Toughpower GF1 PE,122.45,0,1,750,0
Corsair RM850x (2018),342.93,0,1,850,0
EVGA 700 BQ,75.56,0,0,700,2
EVGA 650BP,74.99,0,0,650,3
EVGA 750 BP,79.99,0,0,750,3
Asus ROG Strix Aura Edition,178.5,0,1,850,0
Corsair Vengeance 750M,94.99,0,4,750,2
Super Flower Leadex Titanium,174.99,0,5,850,0
Corsair RM1000e (2022),229.94,0,1,1000,0
be quiet! System Power 9,114.18,0,0,600,3
SeaSonic PRIME TX-750,310.29,0,5,750,0
SeaSonic VERTEX GX-850,159.99,0,1,850,0
Thermaltake Toughpower PF3-L,194.99,0,2,1200,0
EVGA SuperNOVA 650 GA,129.71,0,1,650,0
Cooler Master MWE Gold V2 ATX3.0,148.99,0,1,1050,0
Thermaltake Toughpower SFX 600W Gold,171.58,3,1,600,0
EVGA SuperNOVA 750 G6,134.4,0,1,750,0
EVGA SuperNOVA 750 GA,189.99,0,1,750,0
FSP Group Hydro GE,89.99,0,1,650,0
Fractal Design Ion Gold,202.17,0,1,750,0
Cooler Master MWE Bronze,88.99,0,0,500,3
FSP Group Dagger Pro,136.99,3,1,650,0
Corsair CX750F,220.0,0,0,750,0
SeaSonic G12 GC,97.49,0,1,550,3
SeaSonic PRIME TX-850,357.69,0,5,850,0
GameMax RGB,159.99,0,2,1300,0
Thermaltake Toughpower SFX,139.99,3,1,750,0
Raidmax RX-730SS,57.99,0,6,730,2
Silverstone FX500-G,146.71,1,1,500,3
Corsair HX1000i (2022),275.0,0,2,1000,0
Asus TUF Gaming 1200G,202.88,0,1,1200,0
EVGA SuperNOVA 1200 P3,279.99,0,2,1200,0
Thermaltake TR2 S,99.26,0,3,600,3
SeaSonic G12 GM,139.94,0,1,650,2
Corsair TX650M Gold,246.97,0,1,650,2
Gigabyte UD850GM PG5 (rev. 2.0),164.9,0,1,850,0
Deepcool PM650D,79.99,0,1,650,3
Gigabyte UD1300GM PG5,189.31,0,1,1300,0
Super Flower Leadex Platinum,114.99,0,2,850,0
SHARKOON SilentStorm,184.44,3,1,500,0
EVGA 550 B5,94.98,0,0,550,0
SeaSonic Prime Fanless PX-500,282.77,0,2,500,0
be quiet! SFX Power 3 300,78.17,3,0,300,3
Antec Signature,246.63,0,5,1000,0
Thermaltake Toughpower SFX,149.99,3,1,850,0
Antec NeoECO Gold,152.16,0,1,850,0
Thermaltake Toughpower GF1 PE,114.98,0,1,650,0
be quiet! Straight Power 11 550W,109.9,0,1,550,0
EVGA SuperNOVA 650 P5,119.99,0,2,650,0
Super Flower Leadex III Gold,125.99,0,1,650,0
Super Flower Leadex V Pro,177.98,0,2,1000,0
Corsair RM850e (2022),176.9,0,1,850,0
Silverstone SX1000R-PL,269.99,3,2,1000,0
Thermaltake Toughpower TF1 - TT Premium,499.99,0,5,1550,0
Antec NE1000G M ATX3.0,144.99,0,1,1000,0
Silverstone TX500-G,139.99,4,1,500,3
SeaSonic G12 GM,136.52,0,1,550,2
EVGA SuperNOVA 1000 G3,386.02,0,1,1000,0
SeaSonic PRIME 1300 Gold,288.99,0,1,1300,0
SeaSonic FOCUS SPX (2021),197.98,3,2,750,0
Silverstone HELA 850R,223.99,0,2,850,0
SeaSonic FOCUS,169.98,0,2,750,0
EVGA SuperNOVA 1200 P2,499.99,0,2,1200,0
Corsair RM750e (2022),153.0,0,1,750,0
NZXT E850,119.99,0,1,850,0
Cougar VTE,77.34,0,0,600,3
Azza PSAZ-750W,69.99,0,0,750,3
Cooler Master V850 Gold V2,214.19,0,1,850,0
EVGA SuperNOVA 1000 P5,209.99,0,2,1000,0
be quiet! Straight Power 11 1000W,318.2,0,1,1000,0
Corsair RM1000x SHIFT,219.99,0,1,1000,1
Corsair CX500,299.97,0,0,500,3
SeaSonic PRIME Fanless,298.99,0,5,700,0
EVGA SuperNOVA 1300 P+,259.99,0,2,1300,0
Thermaltake Litepower,65.26,0,6,650,3
SeaSonic VERTEX PX-850,219.99,0,2,850,0
Corsair AX850,499.98,0,5,850,0
Apex AL-8250SFX,77.71,3,6,250,3
Thermaltake TR2 S,112.43,0,3,700,3
Cooler Master XG750 Plus,128.97,0,2,750,0
Corsair RM1200x SHIFT,229.99,0,1,1200,1
Corsair CX650F,196.03,0,0,650,0
ADATA XPG Core Reactor II,129.99,0,1,1000,0
Cooler Master GX III GOLD,148.52,0,1,750,0
EVGA 600 B1,149.99,0,0,600,3
Corsair TX850M Gold,323.98,0,1,850,2
KOLINK Regulator,129.99,0,1,850,0
Thermaltake Toughpower GF A3 - TT Premium Edition,197.49,0,1,1200,0
EVGA SuperNOVA 650 G1,223.49,0,1,650,0
EVGA SuperNOVA 550 GA,170.99,0,1,550,0
SeaSonic SSP-300SUG,89.88,1,1,300,3
MSI MAG A750BN PCIE5,79.0,0,0,750,3
SeaSonic PRIME Ultra Titanium,312.0,0,5,850,0
Silverstone Strider Platinum S,212.99,0,2,1000,0
Super Flower Leadex III ARGB,159.99,0,1,650,0
"FSP Group Hydro PTM X PRO,Gen5",162.99,0,2,1000,0
Antec NE1000G M White ATX 3.0,186.48,0,1,1000,0
EVGA N1,54.99,0,6,550,3
GAMDIAS KRATOS P1 G,84.99,0,1,750,3
Corsair CX550F,159.99,0,0,550,0
EVGA SuperNOVA 750 P2,249.99,0,2,750,0
Gigabyte AORUS P GM,146.79,0,1,750,0
EVGA SuperNOVA 850 P2,322.67,0,2,850,0
Thermaltake Toughpower Grand RGB,176.54,0,1,850,0
Antec NeoECO Gold,143.63,0,1,750,0
Silverstone DA750R-GMA,221.97,0,1,750,0
CoolMax V-400,35.71,0,6,400,3
In Win IP-S200DF1-0,52.02,4,6,200,3
EVGA GE,93.53,0,1,700,3
Silverstone TX700-G,164.99,4,1,700,3
Silverstone Strider Titanium,359.99,0,5,1300,0
MSI MPG A750G PCIE5,139.99,0,1,750,0
EVGA SuperNOVA 750 G7,119.99,0,1,750,0
SeaSonic PRIME PX,459.0,0,2,1000,0
EVGA SuperNOVA 1600 P2,399.99,0,2,1600,0
Vetroo GV1000,129.99,0,1,1000,0
Cooler Master MasterWatt,98.99,0,0,750,2
Thermaltake Toughpower Grand RGB,144.98,0,1,750,0
Razer Katana Chroma,389.99,0,2,1200,0
Razer Katana Chroma,209.99,0,2,850,0
Corsair RM650,221.09,0,1,650,0
Antec CSK,76.17,0,0,650,3
Silverstone Strider,103.69,0,1,550,0
SHARKOON SilentStorm Cool Zero 650,116.96,0,1,650,0
EVGA SuperNOVA 650 P6,139.99,0,2,650,0
Xilence XP600R6,78.69,0,6,600,3
be quiet! Straight Power 11,161.43,0,2,750,0
Asus ROG Strix Aura Edition,164.99,0,1,750,0
Corsair RM1000,400.75,0,1,1000,0
Silverstone Strider Platinum,138.65,0,2,550,0
MSI MAG A1000GL PCIE5,174.0,0,1,1000,0
Corsair RM550x,229.97,0,1,550,0
Gigabyte UD-GM PG5,195.45,0,1,750,0
GAMDIAS KRATOS M1 B,79.98,0,0,750,3
Corsair CS750M,216.99,0,1,750,2
SHARKOON SilentStorm Cool Zero 750,171.59,0,1,750,0
EVGA SuperNOVA 650 G6,116.92,0,1,650,0
Cooler Master MWE Bronze V2,133.94,0,0,700,3
EVGA SuperNOVA 650 P2,215.73,0,2,650,0
"FSP Group Hydro PTM X PRO,Gen5",169.97,0,2,850,0
Enermax Revolution D.F. X,109.99,0,1,850,0
EVGA SuperNOVA 650 G7,99.99,0,1,650,0
Xilence XP400R6,78.34,0,6,400,3
Enermax MAXREVO SLI,149.94,0,1,1350,0
Cooler Master V850 Gold i,162.43,0,1,850,0
SeaSonic PRIME PX,184.99,0,2,750,0
Antec VP PLUS,128.97,0,3,700,3
be quiet! Dark Power 12,289.14,0,5,750,0
ADATA XPG Core Reactor II,94.99,0,1,750,0
Corsair TX650,244.99,0,3,650,3
Cooler Master V650,138.65,0,1,650,0
Thermaltake Toughpower GF1 Snow - TT Premium,170.0,0,1,750,0
Corsair RM750x White,379.98,0,1,750,0
Super Flower Leadex III ARGB,144.99,0,1,850,0
ADATA XPG Core Reactor II,87.99,0,1,650,0
Deepcool PX1300P,289.99,0,2,1300,0
EVGA SuperNOVA G FTW,154.99,0,1,1000,0
FSP Group Dagger Pro,184.71,3,1,850,0
NZXT C (2019),109.98,0,1,750,0
Silverstone Essential,61.74,0,0,550,3
Corsair RM650x,203.4,0,1,650,0
Cougar GEX,111.99,0,1,850,0
SeaSonic PRIME,195.98,0,1,850,0
